epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,2977.28,1.77394,1.44276,1.32821,0.35952,0.50575,0.42026,0.16254,2.80695,2.08526,1.98441,0.000637437,0.000637437,0.000637437
101,3002.88,1.71779,1.39502,1.29169,0.35952,0.50575,0.42026,0.16254,2.80695,2.08526,1.98441,0.00063125,0.00063125,0.00063125
102,3029.47,1.77581,1.42788,1.30487,0.41557,0.45367,0.4263,0.1515,2.8304,2.09069,1.98711,0.000625062,0.000625062,0.000625062
103,3060.9,1.81583,1.41688,1.27025,0.38199,0.48611,0.4175,0.14327,2.90413,2.1015,2.02523,0.000618875,0.000618875,0.000618875
104,3085.97,1.76898,1.38962,1.25038,0.417,0.43939,0.38998,0.13473,2.88904,2.09578,2.00815,0.000612687,0.000612687,0.000612687
105,3113.47,1.87936,1.46471,1.34362,0.417,0.43939,0.38998,0.13473,2.88904,2.09578,2.00815,0.0006065,0.0006065,0.0006065
106,3139.23,1.7362,1.41082,1.25405,0.47172,0.45076,0.41177,0.13523,2.85706,2.09239,2.00434,0.000600313,0.000600313,0.000600313
107,3163.72,1.7472,1.3951,1.27301,0.46757,0.46815,0.42924,0.13857,2.86332,2.12383,2.02259,0.000594125,0.000594125,0.000594125
108,3188.27,1.81383,1.44745,1.32698,0.47159,0.4625,0.39825,0.12849,2.89884,2.13876,2.03172,0.000587938,0.000587938,0.000587938
109,3212.64,1.72726,1.41161,1.27918,0.47159,0.4625,0.39825,0.12849,2.89884,2.13876,2.03172,0.00058175,0.00058175,0.00058175
110,3239.7,1.84294,1.45308,1.29153,0.41066,0.41916,0.37087,0.14113,2.943,2.14379,2.04815,0.000575563,0.000575563,0.000575563
111,3266.62,1.72158,1.4161,1.28942,0.54854,0.41947,0.42156,0.15618,2.9427,2.12042,2.03854,0.000569375,0.000569375,0.000569375
112,3299.59,1.72146,1.33256,1.23481,0.40402,0.53372,0.44557,0.14828,2.8782,2.08377,1.96707,0.000563187,0.000563187,0.000563187
113,3325.67,1.73761,1.40083,1.28244,0.40402,0.53372,0.44557,0.14828,2.8782,2.08377,1.96707,0.000557,0.000557,0.000557
114,3360.94,1.70533,1.31098,1.23528,0.4136,0.53185,0.44001,0.13882,2.82271,2.06519,1.95334,0.000550813,0.000550813,0.000550813
115,3392.67,1.72183,1.33353,1.25842,0.38872,0.48415,0.3899,0.12739,2.84861,2.08248,1.99734,0.000544625,0.000544625,0.000544625
116,3424.57,1.61805,1.29361,1.24307,0.38943,0.45556,0.40141,0.12574,2.91915,2.10042,2.0608,0.000538438,0.000538438,0.000538438
117,3450.1,1.65568,1.35557,1.27582,0.38943,0.45556,0.40141,0.12574,2.91915,2.10042,2.0608,0.00053225,0.00053225,0.00053225
118,3480.37,1.66667,1.24907,1.21369,0.41307,0.3966,0.34913,0.11721,2.93952,2.1488,2.09897,0.000526063,0.000526063,0.000526063
119,3509.19,1.65867,1.28586,1.24033,0.4475,0.41874,0.39093,0.14339,2.91293,2.13668,2.07918,0.000519875,0.000519875,0.000519875
120,3537.96,1.78325,1.47303,1.31696,0.59402,0.41646,0.44599,0.16156,2.87727,2.0894,2.04194,0.000513688,0.000513688,0.000513688
121,3566.05,1.77862,1.37004,1.27157,0.59402,0.41646,0.44599,0.16156,2.87727,2.0894,2.04194,0.0005075,0.0005075,0.0005075
122,3593.81,1.64199,1.31947,1.25743,0.56457,0.42635,0.46802,0.16656,2.8038,2.05892,2.01785,0.000501313,0.000501313,0.000501313
123,3623.25,1.75696,1.39577,1.2922,0.49238,0.44298,0.45096,0.14816,2.81359,2.05586,2.04964,0.000495125,0.000495125,0.000495125
124,3659.12,1.71144,1.30557,1.22369,0.53093,0.42985,0.44168,0.12707,2.86344,2.04116,2.08728,0.000488938,0.000488938,0.000488938
125,3684.46,1.54898,1.26411,1.22646,0.53093,0.42985,0.44168,0.12707,2.86344,2.04116,2.08728,0.00048275,0.00048275,0.00048275
126,3712.18,1.73784,1.30226,1.22032,0.47179,0.46254,0.44027,0.13201,2.8998,2.0601,2.10729,0.000476562,0.000476562,0.000476562
127,3744.13,1.51255,1.24123,1.18606,0.47066,0.52806,0.44387,0.14563,2.88516,2.06225,2.0886,0.000470375,0.000470375,0.000470375
128,3773.36,1.78442,1.35426,1.23367,0.5152,0.46819,0.44308,0.15609,2.86908,2.04359,2.07687,0.000464188,0.000464188,0.000464188
129,3800.27,1.55836,1.21478,1.19097,0.5152,0.46819,0.44308,0.15609,2.86908,2.04359,2.07687,0.000458,0.000458,0.000458
130,3825.27,1.54769,1.2865,1.24082,0.50153,0.45875,0.44396,0.15992,2.8203,2.02146,2.07481,0.000451813,0.000451813,0.000451813
131,3852.23,1.67796,1.30177,1.24366,0.60765,0.49893,0.53866,0.16877,2.79944,2.03311,2.05814,0.000445625,0.000445625,0.000445625
132,3883.09,1.65318,1.22386,1.18612,0.58967,0.4892,0.51411,0.17555,2.80199,2.04714,2.05601,0.000439437,0.000439437,0.000439437
133,3912.77,1.63926,1.22758,1.20092,0.58967,0.4892,0.51411,0.17555,2.80199,2.04714,2.05601,0.00043325,0.00043325,0.00043325
134,3945.14,1.50353,1.22159,1.18791,0.49844,0.48429,0.4803,0.16315,2.84776,2.10171,2.06772,0.000427062,0.000427062,0.000427062
135,3974.95,1.60565,1.24004,1.20759,0.50584,0.45335,0.44478,0.15087,2.92061,2.13187,2.09087,0.000420875,0.000420875,0.000420875
136,4004.44,1.53056,1.17068,1.14919,0.4264,0.47275,0.41729,0.14439,2.95887,2.1159,2.09984,0.000414688,0.000414688,0.000414688
137,4030.96,1.49343,1.18107,1.13591,0.4264,0.47275,0.41729,0.14439,2.95887,2.1159,2.09984,0.0004085,0.0004085,0.0004085
138,4057.33,1.6268,1.24837,1.16989,0.39429,0.49579,0.42381,0.14223,2.98618,2.10712,2.11295,0.000402312,0.000402312,0.000402312
139,4084.89,1.56322,1.18406,1.18515,0.52934,0.40717,0.44777,0.14797,2.97754,2.07088,2.12393,0.000396125,0.000396125,0.000396125
140,4110.36,1.64533,1.24187,1.21578,0.44732,0.46928,0.4556,0.15126,2.9833,2.05653,2.14215,0.000389938,0.000389938,0.000389938
141,4135.32,1.56015,1.12718,1.15762,0.44732,0.46928,0.4556,0.15126,2.9833,2.05653,2.14215,0.00038375,0.00038375,0.00038375
142,4160.74,1.64907,1.2309,1.18382,0.44584,0.46591,0.42189,0.15131,2.98293,2.0741,2.1419,0.000377563,0.000377563,0.000377563
143,4185.85,1.63996,1.27759,1.17242,0.42992,0.45356,0.39592,0.14784,3.02137,2.13381,2.16166,0.000371375,0.000371375,0.000371375
144,4212.28,1.54138,1.18778,1.17898,0.4414,0.40293,0.37428,0.1584,3.07589,2.21114,2.18242,0.000365188,0.000365188,0.000365188
145,4245.45,1.47024,1.1458,1.13269,0.4414,0.40293,0.37428,0.1584,3.07589,2.21114,2.18242,0.000359,0.000359,0.000359
146,4277.21,1.55625,1.20256,1.18045,0.48263,0.39848,0.38139,0.15537,3.10073,2.227,2.18697,0.000352812,0.000352812,0.000352812
147,4306.86,1.44659,1.15095,1.15171,0.47407,0.40108,0.39537,0.15416,3.07614,2.18043,2.16214,0.000346625,0.000346625,0.000346625
148,4333.17,1.60099,1.17706,1.17394,0.52485,0.43322,0.44234,0.15817,3.02286,2.14525,2.11817,0.000340438,0.000340438,0.000340438
149,4362.25,1.5055,1.16219,1.14955,0.52485,0.43322,0.44234,0.15817,3.02286,2.14525,2.11817,0.00033425,0.00033425,0.00033425
150,4390.27,1.58735,1.1736,1.19985,0.57363,0.44215,0.45819,0.16041,3.00011,2.11596,2.11563,0.000328063,0.000328063,0.000328063
151,4417.59,1.54355,1.1552,1.168,0.46299,0.49373,0.4579,0.15667,3.00574,2.11871,2.12842,0.000321875,0.000321875,0.000321875
152,4446.05,1.48524,1.1726,1.16313,0.47932,0.4885,0.44807,0.15508,3.01239,2.1305,2.1225,0.000315687,0.000315687,0.000315687
